h,beta,se,lb,ub,nobs,shock,outcome,outcome_label,specification
12,0.456349858124952,0.272192210422013,0.0086335135843652,0.904066202665539,125,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
0,1.18496880959767,1.40283954036559,-1.1224968964036,3.49243451559894,137,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
1,-0.191963723096291,2.20902525755748,-3.82548693001712,3.44155948382453,136,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
2,-0.444240649679173,2.40903175248468,-4.40674526519486,3.51826396583652,135,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
3,1.43076069039084,2.69922915451552,-3.00907617438717,5.87059755516886,134,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
4,1.5234643109316,2.90726862048394,-3.25856702399362,6.30549564585682,133,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
5,4.4201138694711,3.29799618022759,-1.00460710924835,9.84483484819056,132,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
6,3.92555644255971,4.55012875393319,-3.55873934144348,11.4098522265629,131,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
7,3.32304319071767,4.80469312749879,-4.57997372643753,11.2260601078729,130,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
8,0.498368666986648,4.32416593039278,-6.6142513471599,7.61098868113319,129,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
9,-0.800586663819318,3.61353537946165,-6.74432343884428,5.14315011120565,128,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
10,-4.04691019828873,3.09169034610144,-9.13228827748453,1.03846788090707,127,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
11,-7.13529148905133,2.76987993244756,-11.6913385421578,-2.57924443594487,126,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
12,-5.75816337165596,2.72947209319207,-10.2477454438058,-1.26858129950616,125,Russia,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
