h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
0,-0.251045096935001,0.201457882207508,-0.582413825161984,0.0803236312919817,-0.113103818655838,0.428056690439695,-0.817194418466415,0.590986781154739,140,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
1,-0.130359803890475,0.291059270263967,-0.60910970024201,0.34839009246106,-0.418970166852817,0.495255999605297,-1.23359379407307,0.395653460367434,139,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
2,-0.361232270326139,0.310073751643773,-0.871258205339849,0.148793664687571,-0.153461057272413,0.43985776233184,-0.876962692986698,0.570040578441872,138,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
3,-0.722475581112548,0.32433258592252,-1.25595521140576,-0.188995950819341,0.389919022450356,0.504777885132999,-0.440366712715552,1.22020475761626,137,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
4,-0.848143474060394,0.344605232264702,-1.41496864021744,-0.281318307903344,-0.133106161310357,0.548914845484225,-1.03599073579259,0.769778413171877,136,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
5,-1.23479431520001,0.427753465427884,-1.93838615425013,-0.531202476149894,-0.829091952281476,0.645955485331366,-1.89159417517797,0.233410270615021,135,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
6,-1.2905422830942,0.421680365384888,-1.98414476151175,-0.596939804676644,-0.515443886176393,0.719232029455814,-1.69847529844646,0.667587526093671,134,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
7,-1.23541316890339,0.379756157383598,-1.86005646173295,-0.610769876073821,-0.923749908987269,0.74812222386695,-2.15430146231782,0.306801644343285,133,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
8,-0.984386063388104,0.370088296517702,-1.59312714020754,-0.375644986568669,-1.46760565596609,0.811750334917734,-2.8028161385346,-0.132395173397587,132,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
9,-0.685749798457727,0.270560785903491,-1.13078268846193,-0.24071690845353,-1.67201547642329,0.450918875540494,-2.41371102431695,-0.930319928529631,131,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
10,-0.424790498628656,0.393525284643238,-1.0720819903712,0.222500993113885,-1.08924928614773,0.628251636274433,-2.12263126871193,-0.0558673035835306,130,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
11,0.0679657977371891,0.295732179987994,-0.418470351122328,0.554401946596706,-0.766548256817444,0.642875728945926,-1.82398473125322,0.290888217618334,129,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
12,0.546878309178984,0.382711213534547,-0.082625618478315,1.17638223683628,0.154136463140289,0.6700718153664,-0.948033592683091,1.25630651896367,128,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_level_lp,World
0,-0.00555538902270684,0.0866630024217402,-0.148103342878611,0.136992564833197,-0.0198493726117715,0.243480070863949,-0.42033845026274,0.380639705039197,140,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
1,-0.274757583692829,0.125997077170015,-0.482004333061212,-0.0675108343244453,-0.0773219028797295,0.207423332803768,-0.41850292415637,0.263859118396911,139,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
2,-0.339392392737013,0.170779551657016,-0.620299757689201,-0.0584850277848245,-0.406953490720175,0.284797420748785,-0.875403561185238,0.0614965797448893,138,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
3,-0.204921041108444,0.212036998376867,-0.553690866936538,0.143848784719649,-0.720114855122288,0.421848051074406,-1.41399315195444,-0.0262365582901416,137,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
4,-0.0670053887958503,0.233002999166318,-0.45026121706514,0.316250439473439,-0.464191056643588,0.428105530012163,-1.16836199040208,0.2399798771149,136,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
5,0.172490305805633,0.221133477239258,-0.191241896271751,0.536222507883016,-0.00635226815678945,0.326960605803156,-0.544154606482362,0.531450070168783,135,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
6,0.376850767733473,0.209210244986632,0.0327305374718043,0.720970997995141,0.109756911980604,0.34640994379271,-0.46003674047889,0.679550564440099,134,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
7,0.378756648600582,0.20680555565462,0.0385917803083649,0.718921516892799,0.12601185256215,0.349922251928821,-0.449559032673998,0.701582737798298,133,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
8,0.457871324250553,0.203204106133525,0.123630313265392,0.792112335235714,0.71002624081537,0.436156236804335,-0.00738692720974454,1.42743940884049,132,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
