variant,shock,outcome,horizon,beta,se,lb,ub,nobs
without_oil,World,Headline_Pi,4,-0.0701910109680762,0.0997544434396917,-0.234272469064379,0.0938904471282261,146
without_oil,World,Headline_Pi,5,-0.0370058843904594,0.106691170063012,-0.2124972424323,0.138485473651382,145
without_oil,World,Headline_Pi,6,-0.10323796497417,0.119330563109527,-0.299519274511036,0.0930433445626969,144
without_oil,World,Headline_Pi,7,-0.0427107204736939,0.122934361225459,-0.244919750412353,0.159498309464965,143
without_oil,World,Headline_Pi,8,-0.0532029215847216,0.143452573252725,-0.289161406994988,0.182755563825545,142
without_oil,World,Headline_Pi,9,-0.0874969533792854,0.148377674005238,-0.331556508625424,0.156562601866854,141
without_oil,World,Headline_Pi,10,-0.130396948514417,0.131427000763675,-0.346575127399902,0.0857812303710682,140
without_oil,World,Headline_Pi,11,-0.128776190954571,0.137033346265079,-0.354175987571983,0.0966236056628406,139
without_oil,World,Headline_Pi,12,-0.08424945974124,0.139903392593664,-0.314370062471744,0.145871142989264,138
without_oil,World,Core_Pi,0,0.0154668136186054,0.0161741929979689,-0.0111373663971169,0.0420709936343277,150
without_oil,World,Core_Pi,1,-0.0135475396348117,0.0230573408941657,-0.0514734904324367,0.0243784111628132,149
without_oil,World,Core_Pi,2,-0.0209005552223218,0.0354997928331314,-0.0792925182199239,0.0374914077752804,148
without_oil,World,Core_Pi,3,-0.0241783850910587,0.0470834581280265,-0.101623781962361,0.0532670117802435,147
without_oil,World,Core_Pi,4,-0.0658001806711336,0.0593309716746749,-0.163390944620778,0.0317905832785105,146
without_oil,World,Core_Pi,5,-0.068578697928699,0.0681273561386037,-0.180638226767896,0.0434808309104979,145
without_oil,World,Core_Pi,6,-0.105502856016532,0.0773067516923359,-0.232661146925507,0.0216554348924439,144
without_oil,World,Core_Pi,7,-0.101653591424137,0.0846977238286899,-0.240968949658292,0.0376617668100178,143
without_oil,World,Core_Pi,8,-0.112962738438022,0.0957034572122657,-0.270380917145412,0.0444554402693684,142
without_oil,World,Core_Pi,9,-0.125194113736048,0.102514199287456,-0.293814966248047,0.0434267387759501,141
without_oil,World,Core_Pi,10,-0.133324612409269,0.107518981574434,-0.310177599218105,0.0435283743995668,140
without_oil,World,Core_Pi,11,-0.141522042615115,0.112493653275979,-0.326557636215131,0.0435135509849017,139
without_oil,World,Core_Pi,12,-0.142334068911849,0.111313499324444,-0.325428482004321,0.0407603441806231,138
without_oil,World,Indu_Prod,0,-1.40230110185773e-05,0.00130735847795172,-0.00216443634520322,0.00213639032316606,150
without_oil,World,Indu_Prod,1,-0.00191421067141318,0.00140961967976238,-0.00423282871429251,0.000404407371466147,149
without_oil,World,Indu_Prod,2,-0.000385436052196558,0.00221320152833906,-0.0040258286132596,0.00325495650886648,148
without_oil,World,Indu_Prod,3,0.00169399105272443,0.00251708761496566,-0.00244624964010648,0.00583423174555533,147
without_oil,World,Indu_Prod,4,0.000805170720293906,0.00245667743084884,-0.00323570406208764,0.00484604550267545,146
without_oil,World,Indu_Prod,5,0.00090181545564832,0.00239187929123933,-0.00303247587177681,0.00483610678307345,145
without_oil,World,Indu_Prod,6,0.000858799992089536,0.00248433186919175,-0.00322756229350164,0.00494516227768072,144
without_oil,World,Indu_Prod,7,-0.000471445409165538,0.00246042813104222,-0.00451848954436376,0.00357559872603269,143
without_oil,World,Indu_Prod,8,-0.00257410940829594,0.00295962720145667,-0.00744226294503618,0.0022940441284443,142
without_oil,World,Indu_Prod,9,-0.00142268142718439,0.00307854496310816,-0.00648643727548604,0.00364107442111726,141
without_oil,World,Indu_Prod,10,-0.00114918158264036,0.00341244990437717,-0.00676216218464535,0.00446379901936464,140
without_oil,World,Indu_Prod,11,-0.00314531322422477,0.00386527125989187,-0.00950311867520921,0.00321249222675967,139
without_oil,World,Indu_Prod,12,-0.00312716143751208,0.003680715692035,-0.00918139999333304,0.00292707711830889,138
without_oil,GPT,Real_Brent,0,2.65870773190763,1.53670117119341,0.13105923692957,5.18635622688569,150
without_oil,GPT,Real_Brent,1,2.88599768239284,2.1008563812418,-0.569603555996883,6.34159892078255,149
without_oil,GPT,Real_Brent,2,1.3208289893409,1.6517312498635,-1.39602714774616,4.03768512642796,148
without_oil,GPT,Real_Brent,3,1.90217207001315,1.78136633654421,-1.02791480958085,4.83225894960714,147
without_oil,GPT,Real_Brent,4,2.85030550869227,1.80822306401691,-0.123956756493244,5.82456777387779,146
without_oil,GPT,Real_Brent,5,4.7870523073808,1.84257713374409,1.75628262600398,7.81782198875761,145
without_oil,GPT,Real_Brent,6,5.08498301833264,2.07705722525363,1.66852790798845,8.50143812867683,144
without_oil,GPT,Real_Brent,7,6.96450246759893,2.1333126076563,3.45551548747416,10.4734894477237,143
without_oil,GPT,Real_Brent,8,4.92982223721576,2.2909798105469,1.1614957865651,8.69814868786643,142
without_oil,GPT,Real_Brent,9,5.11677562892727,2.22472650307636,1.45742617136706,8.77612508648749,141
without_oil,GPT,Real_Brent,10,4.15027089257344,2.11929136428169,0.664346805467769,7.63619497967911,140
without_oil,GPT,Real_Brent,11,3.13337550433141,2.29140845605104,-0.635656005431417,6.90240701409424,139
without_oil,GPT,Real_Brent,12,2.66587336650556,2.11013605901889,-0.80499158353274,6.13673831654386,138
without_oil,GPT,Real_WTI,0,2.48916588412894,1.32479269040611,0.310075822355651,4.66825594590224,156
without_oil,GPT,Real_WTI,1,2.9510896554494,1.90762662311709,-0.186676914453941,6.08885622535274,155
without_oil,GPT,Real_WTI,2,1.09236193232345,1.5206140409618,-1.4088255881459,3.5935494527928,154
without_oil,GPT,Real_WTI,3,1.63211417041631,1.644411936399,-1.07270276737188,4.3369311082045,153
without_oil,GPT,Real_WTI,4,2.42046214598075,1.72218657867722,-0.412282694243622,5.25320698620513,152
without_oil,GPT,Real_WTI,5,4.09127809227007,1.80398729150604,1.12398305286199,7.05857313167815,151
without_oil,GPT,Real_WTI,6,4.78522994008583,1.93450728355218,1.60324861837098,7.96721126180068,150
without_oil,GPT,Real_WTI,7,6.46831185787509,1.99197212426446,3.19180928449247,9.74481443125771,149
without_oil,GPT,Real_WTI,8,4.39662275612887,2.18666356920911,0.799881253392621,7.99336425886512,148
without_oil,GPT,Real_WTI,9,4.94948991837338,2.04325162136177,1.58864007820199,8.31033975854477,147
without_oil,GPT,Real_WTI,10,3.92512515449937,2.00907085964194,0.620497664214811,7.22975264478393,146
without_oil,GPT,Real_WTI,11,3.1960299073871,2.15204637355923,-0.343771375529561,6.73583119030376,145
without_oil,GPT,Real_WTI,12,3.18625260313841,1.95706716535891,-0.0328364219898352,6.40534162826666,144
without_oil,GPT,Real_Gasoline,0,0.655213445192462,0.639705267943274,-0.397008084963995,1.70743497534892,156
without_oil,GPT,Real_Gasoline,1,1.17762176447969,1.03354313331588,-0.522405406965726,2.8776489359251,155
without_oil,GPT,Real_Gasoline,2,0.286130236896418,0.742331586418475,-0.93489656542465,1.50715703921749,154
without_oil,GPT,Real_Gasoline,3,0.0470815737292083,0.916265410434349,-1.46004090987391,1.55420405733233,153
without_oil,GPT,Real_Gasoline,4,0.723172234000468,0.983860096381019,-0.895133613944677,2.34147808194561,152
without_oil,GPT,Real_Gasoline,5,1.67064393091722,0.8490638396136,0.274058194815447,3.06722966701899,151
without_oil,GPT,Real_Gasoline,6,1.86329393595478,1.09874659059718,0.0560166213104354,3.67057125059912,150
without_oil,GPT,Real_Gasoline,7,3.02939702527085,1.14485082137311,1.14628499941692,4.91250905112477,149
without_oil,GPT,Real_Gasoline,8,2.15754141653229,1.37916261721785,-0.11097921655437,4.42606204961895,148
without_oil,GPT,Real_Gasoline,9,2.29909760543032,1.25961964362712,0.227207666030936,4.37098754482971,147
without_oil,GPT,Real_Gasoline,10,2.30031230118222,1.15656029896865,0.39793989863556,4.20268470372888,146
without_oil,GPT,Real_Gasoline,11,1.10662272885377,1.37371326285958,-1.15293451395216,3.3661799716597,145
without_oil,GPT,Real_Gasoline,12,1.10651663655361,1.23815771356813,-0.930071569346877,3.1431048424541,144
